status	url	final_url	reviewed_at	reviewed_by	review_notes
000ERR	https://healthandwelfare.idaho.gov/services-programs/medicaid-health	https://healthandwelfare.idaho.gov/services-programs/medicaid-health			
000ERR	https://hfs.illinois.gov/medicalclients.html	https://hfs.illinois.gov/medicalclients.html			
000ERR	https://hfs.illinois.gov/medicalclients/allkids.html	https://hfs.illinois.gov/medicalclients/allkids.html			
000ERR	https://hhs.iowa.gov/medicaid	https://hhs.iowa.gov/medicaid			
000ERR	https://hhs.iowa.gov/programs/welcome-iowa-hawki	https://hhs.iowa.gov/programs/welcome-iowa-hawki			
000ERR	https://hhs.iowa.gov/programs/welcome-iowa-snap	https://hhs.iowa.gov/programs/welcome-iowa-snap			
000ERR	https://humanservices.arkansas.gov/about-dhs/dco/programs-services/arkids-first/	https://humanservices.arkansas.gov/about-dhs/dco/programs-services/arkids-first/			
000ERR	https://humanservices.arkansas.gov/divisions-shared-services/county-operations/programs-services/snap/	https://humanservices.arkansas.gov/divisions-shared-services/county-operations/programs-services/snap/			
000ERR	https://humanservices.arkansas.gov/divisions-shared-services/medical-services/	https://humanservices.arkansas.gov/divisions-shared-services/medical-services/			
000ERR	https://humanservices.hawaii.gov/bessd/snap-2/	https://humanservices.hawaii.gov/bessd/snap-2/			
000ERR	https://jfs.ohio.gov/family-services-and-assistance/cash-and-food-assistance/food-assistance	https://jfs.ohio.gov/family-services-and-assistance/cash-and-food-assistance/food-assistance			
000ERR	https://jobs.utah.gov/customereducation/services/foodstamps/index.html	https://jobs.utah.gov/customereducation/services/foodstamps/index.html			
000ERR	https://kancare.ks.gov/	https://kancare.ks.gov/			
000ERR	https://kynect.ky.gov/benefits/	https://kynect.ky.gov/benefits/			
000ERR	https://ldh.la.gov/page/lachip	https://ldh.la.gov/page/lachip			
000ERR	https://medicaid.alabama.gov	https://medicaid.alabama.gov/			
000ERR	https://medicaid.georgia.gov	https://medicaid.georgia.gov/			
000ERR	https://medicaid.georgia.gov/programs/peachcare-kids	https://medicaid.georgia.gov/programs/peachcare-kids			
000ERR	https://medicaid.ms.gov/	https://medicaid.ms.gov/			
000ERR	https://medicaid.ms.gov/programs/childrens-health-insurance-program/	https://medicaid.ms.gov/programs/childrens-health-insurance-program/			
000ERR	https://medicaid.ncdhhs.gov/	https://medicaid.ncdhhs.gov/			
000ERR	https://medicaid.ncdhhs.gov/beneficiaries/health-choice-children	https://medicaid.ncdhhs.gov/beneficiaries/health-choice-children			
000ERR	https://medicaid.ohio.gov/	https://medicaid.ohio.gov/			
000ERR	https://medicaid.ohio.gov/families-and-individuals/coverage/coverage-for-children-and-pregnant-women	https://medicaid.ohio.gov/families-and-individuals/coverage/coverage-for-children-and-pregnant-women			
000ERR	https://medicaid.utah.gov/	https://medicaid.utah.gov/			
000ERR	https://medquest.hawaii.gov/	https://medquest.hawaii.gov/			
000ERR	https://mn.gov/dhs/people-we-serve/adults/economic-assistance/food-nutrition/programs-and-services/supplemental-nutrition-program.jsp	https://mn.gov/dhs/people-we-serve/adults/economic-assistance/food-nutrition/programs-and-services/supplemental-nutrition-program.jsp			
000ERR	https://mn.gov/dhs/people-we-serve/adults/health-care/health-care-programs/	https://mn.gov/dhs/people-we-serve/adults/health-care/health-care-programs/			
000ERR	https://mn.gov/dhs/people-we-serve/adults/health-care/health-care-programs/programs-and-services/minnesotacare.jsp	https://mn.gov/dhs/people-we-serve/adults/health-care/health-care-programs/programs-and-services/minnesotacare.jsp			
000ERR	https://msp.scdhhs.gov/	https://msp.scdhhs.gov/			
000ERR	https://mtrevenue.gov	https://mtrevenue.gov/			
000ERR	https://newsroom.aaa.com/auto/your-driving-costs/	https://newsroom.aaa.com/auto/your-driving-costs/			
000ERR	https://oklahoma.gov/okdhs/services/sfn.html	https://oklahoma.gov/okdhs/services/sfn.html			
